study,yi,vi,ablat,year,region
Aronson 1948,-0.8893113339202054,0.3255847650039614,44,1948,NA
Ferguson & Simes 1949,-1.5853886572014306,0.19458112139814387,55,1949,EU
Rosenthal 1960,-1.348073148299693,0.41536796536796533,42,1960,AS
Hart & Sutherland 1977,-1.4415511900213054,0.020010031902247573,52,1977,EU
Frimodt-Moller 1973,-0.2175473222112957,0.05121017216963086,13,1973,AS
Stein & Aronson 1953,-0.786115585818864,0.0069056184559087574,44,1953,NA
Vandiviere 1973,-1.6208982235983924,0.22301724757231517,19,1973,AS
TPT Madras 1980,0.011952333523841173,0.00396157929781773,13,1980,AS
Coetzee & Berjak 1968,-0.4694176487381487,0.056434210463248966,27,1968,NA
Rosenthal 1961,-1.3713448034727846,0.07302479361302891,42,1961,NA
Comstock 1974,-0.33935882833839015,0.01241221397155972,18,1974,NA
Comstock & Webster 1969,0.4459134005713783,0.5325058452001528,33,1969,NA
Comstock 1976,-0.017313948216879493,0.0714046596839863,33,1976,NA
